session_id,athlete_id,frame_num,sport,hip_angle_l,hip_angle_r,knee_angle_l,knee_angle_r,shoulder_angle_l,shoulder_angle_r,elbow_angle_l,elbow_angle_r,ankle_dorsiflexion_l,ankle_dorsiflexion_r,trunk_lean,spine_deviation,shoulder_hip_sep,head_forward_pos,com_height_norm,estimated_jump_height,limb_symmetry_idx,form_score,phase_label,quality_label,feedback_tag
SES_CRI_ELI_00001,athlete_0068,1,vertical_jump,168.58,168.47,167.8,166.9,28.06,28.72,165.6,165.4,91.18,91.41,1.41,0.56,21.72,1.19,0.508,0.0,0.997,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0044,2,vertical_jump,165.11,165.06,164.52,164.8,16.82,16.94,167.48,167.66,80.04,80.03,3.09,0.74,13.46,-1.08,0.592,0.0,0.999,90.0,setup,elite,Elite biomechanics detected.
SES_CRI_ELI_00001,athlete_0090,3,vertical_jump,173.62,174.54,165.46,166.73,28.54,27.9,178.0,178.0,82.35,82.77,5.83,0.62,11.52,1.72,0.53,0.0,0.994,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0194,4,vertical_jump,170.26,170.26,173.51,173.51,37.2,37.2,178.0,178.0,101.67,101.67,0.0,0.36,21.36,1.12,0.633,0.0,1.0,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0188,5,vertical_jump,177.86,177.9,170.1,170.13,31.2,31.19,171.71,171.69,87.13,87.17,2.15,0.42,14.38,1.29,0.549,0.0,1.0,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0104,6,vertical_jump,177.31,177.57,174.57,174.49,13.03,15.33,167.8,166.78,92.89,94.58,0.0,2.48,9.38,2.73,0.526,0.0,0.993,90.0,setup,elite,Elite biomechanics detected.
SES_CRI_ELI_00001,athlete_0182,7,vertical_jump,171.21,171.81,167.0,166.8,33.33,34.3,178.0,178.0,82.94,83.61,2.38,2.21,21.65,-0.41,0.559,0.0,0.996,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0072,8,vertical_jump,177.4,177.51,172.39,172.2,26.07,26.45,174.58,174.43,82.79,82.5,6.87,0.36,22.31,-2.39,0.52,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0048,9,vertical_jump,164.15,165.18,165.51,165.4,27.2,27.12,177.54,177.5,87.8,87.86,3.19,2.23,5.45,2.03,0.57,0.0,0.997,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0119,10,vertical_jump,166.39,167.14,173.18,173.69,14.94,15.03,163.82,164.45,85.35,85.15,2.75,1.06,16.67,0.24,0.58,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0138,11,vertical_jump,177.5,177.79,173.06,173.97,24.16,24.31,171.05,170.89,87.55,87.72,4.1,1.97,19.23,-4.51,0.529,0.0,0.997,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0060,12,vertical_jump,165.94,166.19,171.72,170.77,22.38,22.85,168.44,168.42,94.53,93.9,5.16,1.48,5.39,-0.44,0.592,0.0,0.995,90.0,setup,elite,Elite biomechanics detected.
SES_CRI_ELI_00001,athlete_0164,13,vertical_jump,178.0,178.0,169.93,169.84,21.33,21.33,162.42,162.13,87.02,87.39,3.77,1.64,7.75,-1.42,0.49,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0038,14,vertical_jump,169.39,169.32,170.78,170.9,34.53,34.62,171.79,171.8,81.37,81.27,4.9,1.51,18.92,2.47,0.477,0.0,0.999,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0066,15,vertical_jump,170.2,169.74,173.52,173.61,30.53,30.66,174.91,175.26,96.26,96.54,3.22,0.69,15.85,-0.29,0.522,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0158,16,vertical_jump,175.02,175.01,169.0,169.36,21.84,21.98,163.43,163.47,89.0,88.87,3.66,0.53,3.94,-1.46,0.549,0.0,0.999,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0080,17,vertical_jump,175.82,175.34,170.24,169.28,23.07,23.2,167.23,167.83,92.17,92.34,0.52,0.16,8.42,2.41,0.52,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0189,18,vertical_jump,168.29,167.52,173.35,175.23,32.4,32.08,168.22,167.8,87.62,87.11,2.91,0.51,10.13,-0.39,0.53,0.0,0.993,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0162,19,vertical_jump,177.16,177.55,169.37,170.0,19.06,18.93,169.72,169.22,82.75,82.39,9.76,1.02,20.38,-0.36,0.539,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0153,20,vertical_jump,167.46,168.46,174.25,175.33,21.72,22.21,169.26,169.28,86.56,86.44,0.0,2.02,16.73,2.31,0.484,0.0,0.996,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0098,21,vertical_jump,161.09,160.68,168.37,168.52,22.63,22.29,174.91,173.4,87.39,86.29,3.28,0.97,25.1,0.43,0.442,0.0,0.995,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0026,22,vertical_jump,177.33,177.25,171.31,171.99,28.96,27.93,174.32,173.62,100.43,100.49,5.51,1.2,17.01,-1.03,0.563,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0050,23,vertical_jump,178.0,178.0,171.47,171.63,31.57,31.77,164.54,164.27,90.81,90.76,4.78,2.17,13.64,-2.74,0.574,0.0,1.0,90.0,setup,elite,Elite biomechanics detected.
SES_CRI_ELI_00001,athlete_0096,24,vertical_jump,167.08,167.08,155.26,155.26,32.22,32.22,169.08,169.08,88.11,88.11,3.27,1.72,7.04,1.05,0.514,0.0,1.0,90.0,setup,elite,Outstanding jump mechanics.
SES_CRI_ELI_00001,athlete_0168,25,vertical_jump,176.37,176.37,171.49,171.62,20.58,20.46,165.43,165.51,83.35,83.36,4.35,0.09,31.8,-0.51,0.502,0.0,1.0,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0118,26,vertical_jump,169.53,169.88,177.96,178.0,19.72,19.74,172.64,172.8,87.16,86.78,1.5,2.17,28.51,2.1,0.496,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_CRI_ELI_00001,athlete_0088,27,vertical_jump,169.32,170.03,160.59,160.35,19.89,19.08,154.12,154.47,82.06,81.45,0.0,0.74,7.38,0.95,0.525,0.0,0.996,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0110,1,vertical_jump,162.42,162.54,168.03,167.61,21.56,21.48,176.2,175.9,89.16,88.55,3.29,1.08,7.61,-0.81,0.479,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0127,2,vertical_jump,175.55,175.55,166.16,166.61,25.61,25.18,175.83,175.62,91.48,92.08,4.95,0.22,23.66,2.14,0.561,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0102,3,vertical_jump,168.95,169.03,169.18,169.55,23.41,23.73,164.57,164.59,87.39,87.21,8.97,0.09,38.39,0.64,0.612,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0200,4,vertical_jump,169.97,170.05,167.03,166.7,29.66,29.15,169.29,169.35,78.17,78.2,6.57,0.22,0.79,0.92,0.469,0.0,0.999,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0166,5,vertical_jump,166.51,166.67,168.2,169.11,23.25,23.34,170.82,170.26,82.51,82.43,3.59,0.52,14.66,0.26,0.473,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0081,6,vertical_jump,166.64,166.03,168.65,169.55,27.69,27.51,169.99,169.76,86.33,86.02,1.79,1.43,24.52,2.41,0.441,0.0,0.996,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0044,7,vertical_jump,168.32,168.09,175.81,175.42,28.54,28.61,170.48,169.63,92.39,92.53,4.03,2.25,14.89,1.64,0.504,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_JAV_ELI_00002,athlete_0170,8,vertical_jump,170.13,169.85,171.71,172.22,36.61,37.25,178.0,178.0,91.27,91.28,11.52,2.86,10.36,0.54,0.545,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0091,9,vertical_jump,167.87,167.64,168.77,168.33,14.3,13.84,165.55,165.07,90.23,90.52,0.12,0.4,26.17,3.35,0.52,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0057,1,vertical_jump,169.89,169.97,177.43,177.43,30.17,30.2,172.06,172.08,90.42,90.44,0.0,1.12,15.8,-3.36,0.413,0.0,1.0,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0035,2,vertical_jump,167.78,167.96,163.48,163.44,33.91,34.07,174.49,174.45,85.69,85.86,0.0,0.21,14.7,-0.75,0.428,0.0,0.999,90.0,setup,elite,Peak form achieved.
SES_JAV_ELI_00002,athlete_0070,3,vertical_jump,168.02,168.94,172.8,173.19,25.98,25.81,168.69,169.18,95.09,95.18,3.47,1.3,10.93,-1.43,0.477,0.0,0.997,90.0,setup,elite,Peak form achieved.
SES_JAV_ELI_00002,athlete_0131,4,vertical_jump,163.69,163.94,156.5,156.35,22.03,21.61,165.93,166.03,71.25,71.38,5.75,0.63,8.55,-0.99,0.456,0.0,0.999,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0168,5,vertical_jump,176.37,176.02,171.53,171.3,26.82,26.53,174.65,174.67,94.52,94.46,4.95,4.36,12.11,2.6,0.504,0.0,0.999,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0161,6,vertical_jump,169.04,168.79,167.01,167.46,29.02,29.54,175.13,175.36,91.3,91.91,3.63,1.16,25.2,1.42,0.463,0.0,0.996,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0006,7,vertical_jump,165.1,164.39,170.35,169.84,19.52,19.18,163.38,163.26,79.99,79.7,0.86,1.54,21.27,0.72,0.613,0.0,0.996,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0068,8,vertical_jump,178.0,178.0,161.32,160.63,24.03,24.25,162.33,163.39,89.72,89.62,5.98,2.41,34.36,2.87,0.556,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0136,9,vertical_jump,164.39,164.44,169.92,169.67,23.5,23.58,178.0,178.0,96.97,97.15,4.39,1.57,20.37,-0.62,0.497,0.0,0.999,90.0,setup,elite,Peak form achieved.
SES_JAV_ELI_00002,athlete_0021,1,vertical_jump,162.72,161.96,161.55,161.65,29.24,28.58,171.14,170.64,86.84,86.07,2.17,0.29,23.36,0.32,0.521,0.0,0.995,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0111,2,vertical_jump,168.64,168.75,165.8,165.82,28.8,28.74,173.42,173.37,84.77,84.8,0.11,1.07,16.62,1.34,0.528,0.0,1.0,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0147,3,vertical_jump,156.37,156.32,161.38,161.31,19.77,19.73,173.69,173.63,89.64,89.67,0.35,1.7,19.31,0.3,0.558,0.0,1.0,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0130,4,vertical_jump,168.46,167.97,167.48,167.71,26.47,26.14,172.81,172.82,84.24,84.19,5.92,1.51,28.0,2.98,0.502,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0170,5,vertical_jump,162.12,162.34,168.07,167.88,26.11,26.03,170.88,171.7,85.92,86.15,1.5,0.86,4.63,-1.02,0.529,0.0,0.998,90.0,setup,elite,Peak form achieved.
SES_JAV_ELI_00002,athlete_0032,6,vertical_jump,173.16,173.08,175.98,175.41,29.76,30.25,169.31,169.89,92.69,92.89,6.39,0.03,6.37,1.29,0.596,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0030,7,vertical_jump,163.54,163.39,167.27,167.75,23.86,23.89,162.35,162.5,82.43,82.16,2.1,1.44,20.29,-4.4,0.563,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_JAV_ELI_00002,athlete_0194,8,vertical_jump,163.66,163.68,168.96,168.93,20.01,19.81,168.19,168.46,93.69,93.61,0.35,1.72,35.24,1.29,0.554,0.0,1.0,90.0,setup,elite,Elite biomechanics detected.
SES_JAV_ELI_00002,athlete_0048,9,vertical_jump,172.24,171.75,165.32,164.32,24.03,22.97,165.31,164.55,90.05,89.87,3.82,1.91,8.02,4.61,0.506,0.0,0.996,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0035,1,vertical_jump,174.87,174.61,173.61,174.29,33.53,33.55,177.45,177.98,93.53,93.37,4.26,0.65,26.43,-1.35,0.536,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0069,2,vertical_jump,165.72,166.87,166.48,167.59,24.76,24.87,174.73,173.64,92.12,92.57,1.41,1.54,28.28,-4.93,0.525,0.0,0.994,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0088,3,vertical_jump,175.28,175.25,175.04,175.01,24.98,25.15,173.09,173.6,90.05,90.1,3.63,1.0,18.73,3.19,0.473,0.0,1.0,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0122,4,vertical_jump,176.67,176.16,162.55,162.55,23.98,24.31,170.85,170.71,85.93,85.98,2.03,1.34,29.58,-3.51,0.459,0.0,0.999,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0055,5,vertical_jump,171.48,172.27,174.6,175.36,32.61,30.31,172.75,172.36,94.72,95.23,3.72,0.1,17.06,-2.94,0.537,0.0,0.995,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0040,6,vertical_jump,168.65,168.79,167.8,167.55,27.38,27.4,171.05,171.21,88.95,88.95,1.55,0.78,13.09,-2.81,0.533,0.0,0.999,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0116,7,vertical_jump,166.93,167.6,165.6,165.66,19.75,19.18,161.5,161.38,90.02,90.13,6.45,1.38,16.44,1.07,0.509,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0042,8,vertical_jump,167.01,167.12,171.49,171.61,22.45,22.47,170.99,171.08,90.6,90.61,3.92,1.15,6.08,-4.59,0.487,0.0,1.0,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0123,9,vertical_jump,159.77,159.44,170.07,170.71,14.22,14.59,170.03,169.96,93.83,93.99,1.85,0.16,0.46,1.65,0.515,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0155,10,vertical_jump,165.97,165.97,155.03,155.03,25.47,25.47,169.62,169.62,77.3,77.3,0.0,1.75,30.85,1.31,0.563,0.0,1.0,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0146,11,vertical_jump,168.34,168.67,175.61,175.71,29.1,29.3,166.0,165.67,92.13,92.17,2.13,0.09,1.13,0.75,0.469,0.0,0.999,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0115,12,vertical_jump,177.97,178.0,173.86,174.74,28.71,28.72,163.88,163.57,86.79,86.35,2.18,0.59,29.74,-1.45,0.488,0.0,0.997,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0189,13,vertical_jump,178.0,178.0,174.56,174.85,22.93,23.01,160.39,161.13,97.96,97.84,5.63,0.75,22.83,1.15,0.465,0.0,0.999,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0032,14,vertical_jump,171.62,170.62,167.7,167.01,25.88,25.31,165.85,164.82,89.49,89.52,2.5,2.0,10.75,1.28,0.641,0.0,0.997,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0036,15,vertical_jump,172.22,171.49,165.67,165.84,21.75,21.27,169.04,169.04,91.81,91.87,7.75,2.13,8.53,1.5,0.574,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0079,16,vertical_jump,163.81,163.44,170.59,169.92,24.9,24.12,170.93,170.13,91.0,90.77,1.65,0.44,25.25,1.6,0.415,0.0,0.997,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0021,17,vertical_jump,162.22,161.96,167.41,167.01,16.8,16.97,154.8,154.69,84.2,84.0,0.0,0.05,7.76,2.51,0.553,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0121,18,vertical_jump,178.0,178.0,170.39,170.49,21.33,20.4,176.75,176.96,97.11,97.14,0.4,1.43,10.24,-0.61,0.489,0.0,1.0,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0020,19,vertical_jump,166.13,166.87,175.69,175.66,23.23,22.46,170.55,170.07,94.63,94.69,0.0,0.62,15.94,-0.38,0.576,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0197,20,vertical_jump,178.0,178.0,172.11,172.11,29.45,29.45,173.47,173.47,96.35,96.35,8.75,1.55,2.63,3.18,0.549,0.0,1.0,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0123,1,vertical_jump,174.92,175.19,178.0,178.0,22.69,23.29,173.67,173.84,98.1,97.97,3.48,1.71,14.99,-1.54,0.535,0.0,0.999,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0090,2,vertical_jump,175.35,173.27,168.55,170.28,22.72,23.36,166.16,166.28,90.16,88.88,2.44,0.25,23.22,2.57,0.492,0.0,0.988,90.0,setup,elite,Peak form achieved.
SES_PUL_ELI_00003,athlete_0196,3,vertical_jump,165.38,164.95,171.31,174.48,29.22,30.76,176.57,176.83,88.85,89.81,0.0,1.62,25.15,1.04,0.395,0.0,0.99,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0093,4,vertical_jump,169.03,168.87,178.0,178.0,24.87,24.58,169.2,170.06,94.22,93.66,4.11,1.52,10.53,2.93,0.531,0.0,0.998,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0080,5,vertical_jump,173.62,173.7,169.8,169.46,23.09,22.42,177.63,178.0,90.06,90.22,6.44,2.15,12.25,1.24,0.514,0.0,0.999,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0185,6,vertical_jump,152.05,155.05,167.6,166.56,22.13,22.38,160.85,160.98,86.97,87.07,3.0,1.42,9.17,4.23,0.47,0.0,0.991,90.0,setup,elite,Elite biomechanics detected.
SES_PUL_ELI_00003,athlete_0175,7,vertical_jump,178.0,178.0,170.44,169.61,27.38,27.43,169.36,169.16,84.18,84.29,1.39,0.06,10.99,-2.95,0.536,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0017,8,vertical_jump,167.02,166.59,169.66,169.07,34.7,33.72,172.36,172.49,99.14,99.1,3.5,0.31,6.99,-2.98,0.47,0.0,0.998,90.0,setup,elite,Outstanding jump mechanics.
SES_PUL_ELI_00003,athlete_0186,9,vertical_jump,166.71,166.65,166.73,167.28,31.5,31.22,170.26,169.62,92.04,92.52,0.29,1.09,19.71,-0.59,0.528,0.0,0.997,90.0,setup,elite,Elite biomechanics detected.
