session_id,athlete_id,frame_num,sport,hip_angle_l,hip_angle_r,knee_angle_l,knee_angle_r,shoulder_angle_l,shoulder_angle_r,elbow_angle_l,elbow_angle_r,ankle_dorsiflexion_l,ankle_dorsiflexion_r,trunk_lean,spine_deviation,shoulder_hip_sep,head_forward_pos,com_height_norm,estimated_jump_height,limb_symmetry_idx,form_score,phase_label,quality_label,feedback_tag,sequence_id
SES_SPR_GOO_0009,athlete_08,1146,sprint,58.53,62.25,96.63,103.56,76.63,70.24,96.53,104.78,81.1,70.91,14.59,0,22.24,0.22,0.41,0,0.809,83.2,setup,good,"Good depth, push harder through the heels.",38
SES_CRI_GOO_0017,athlete_65,2137,cricket_bat,124.28,126.94,141.87,147.63,98.09,98.23,146.57,152.45,86.79,87.55,30.09,1.17,24.6,4.25,0.43,0,0.761,81.5,setup,good,"Good depth, push harder through the heels.",71
SES_SPR_AVE_0010,athlete_49,1309,sprint,73.15,74.87,122.79,115.11,90.28,91.17,101.4,114.59,78.65,89.74,21.51,0.95,27.31,6.44,0.43,0,0.774,69.7,descent,average,Control trunk lean.,43
SES_JAV_AVE_0014,athlete_60,1714,javelin,138.86,129.23,167.23,149.95,141.24,149.9,140.33,158.71,87.68,82.72,42.29,3.8,21.97,3.08,0.59,0,0.628,67.6,setup,average,Activate core more.,57
SES_VER_POO_0003,athlete_50,460,vertical_jump,144.19,141.04,132.74,144.62,72.52,101.56,150.47,130.01,64.5,67.79,37.95,0.96,34.75,4.16,0.45,15.6,0.667,34.6,descent,poor,Work on symmetry.,15
SES_CRI_ELI_0016,athlete_64,2001,cricket_bat,110.91,118.89,137.96,137.31,89.47,87.3,150.62,140.32,94.88,88.71,22.3,2.29,48.83,2.19,0.45,0,0.797,97.3,takeoff,elite,Hold this form.,66
SES_SNA_ELI_0004,athlete_27,527,snatch,88.58,86.6,102.61,95.19,44.32,31.38,176.64,180,84.99,93.26,13.1,0,22.75,-0.15,0.55,0,0.922,97.3,takeoff,elite,Hold this form.,17
SES_JAV_GOO_0013,athlete_07,1595,javelin,107.14,110.58,159.29,146.29,164.07,159.67,148.44,136.16,94.44,83.37,41.97,3.92,21.2,1.99,0.58,0,0.706,83.7,setup,good,"Good depth, push harder through the heels.",53
SES_CRI_ELI_0016,athlete_73,1938,cricket_bat,114.14,132.34,143.13,141.99,85.34,89.16,151.16,136.08,90.37,84.9,22.42,1.45,35.74,1.94,0.43,0,0.77,94.7,takeoff,elite,Hold this form.,64
SES_SNA_GOO_0005,athlete_29,700,snatch,105.07,100.2,104.06,108.01,51.21,53.91,170.0,172.46,93.62,84.69,29.6,5.61,24.9,1.64,0.48,0,0.875,87.8,descent,good,Extend hips fully.,23
